1 2 	My knee starting to hurt again I'm bout to eat dinner, take another Tylenol and; go back to bed
1 2 	I whipped then I nae nae _URL_ then my reminded I'm not lite on my feet so now I'm Advil and bed ridden _URL_
1 2 	Been dopin myself up wit Tylenol being that's all I can take pensive face
1 3 	Any1 knoe how to get rid of _HASHTAG_ related _HASHTAG_ from sleeping at night?  It's excruciating. Tylenol doesn't cut it. It's unbearable
1 2 	_USER_ I may or may not have taken some Advil when I woke up lol
1 3 	still feeling pretty miserable, got up and; took Motrin, came back and; my bby boy is asleep, he rolled over and; gave momma his cuddles.  red heart️ weary face
1 2 	_USER_ I take about two Advils in the morning and; two more at night
1 3 	That was an awesome night of sleep. Finally fell asleep _USER_ awakened _USER_ for steroids _USER_ 4blood. _HASHTAG_ oh hospitals!
1 2 	Thank the lord I got my Xanax cause I feel so much better and less stressed
1 3 	I went into premature labor at almost 29 weeks . They giving my baby steroids for his lungs.  If they cant stop the Contractions again
1 2 	i used bc powder, ibuprofen, and; Paul Masson  loudly crying face nothing is working
1 2 	_USER_ I be trying to take Tylenol that shit don't work either.. I feel yo pain _URL_ ain't hurting that bad tonight!
1 3 	I knew them tylenols  weren't good for sh.t. I'm still in pain.
1 2 	And I take 2 500 milligram Tylenol before bed.  weary face
1 3 	Thanks. Makeup and steroids work wonders. It never hurt... Just weird how allergies suddenly form in people.  _URL_
1 2 	I take so much Advil every day  unamused face
1 2 	Like I just want to sleeeeeeep. Ibuprofen ain't doin shit
1 2 	My headache gone.  raising hands shoutout to my doctor for giving me Tylenol with Co....  flushed face
1 3 	Back is aching today. Boy that Tylenol helped a lot.
-Said no pregnant woman ever.
1 3 	Steroids, Estrogen and Bed rest..... Im so scared of losing my baby....  pensive face
1 3 	This stuff right here is nectar from the gods for sinus issues. That and Advil Cold and; Sinus and… _URL_
1 2 	Why is prednisone so bitter?!  confused face
1 2 	Tylenol doesn't do shit for me expressionless face persevering face
1 3 	Increasing getting more pissed. Damn those steroids.
1 3 	This detox has not been _URL_ again will I ever put a prozac, lyrica, Celebrex or Percocet in my mouth!
1 3 	_USER_ so the docs decided to give the baby steroids to develop her lungs bc I'm at risk of going into labor preterm
1 3 	Headache gone. Thank you Jesus, _USER_ and Tylenol. _HASHTAG_
1 2 	Tonight is the first time in over a year I have needed a Xanax for my anxiety. I'm proud for coping for so long. But feel so defeated, too.
1 3 	these damn steroids are nasty ass fuck I swear .
1 2 	Woke up with the worst headache not enough Tylenol in the world to help me
1 3 	OJ, Zinc tabs and Tylenol diet. _HASHTAG_
1 2 	3am. Headache. Cause:Unknown. Take Tylenol, Benadryl. Eat Nutrigrain Bar. One of three has to make it go away, right? _HASHTAG_
1 2 	_USER_ I do!! Dosing up on the paracetamol xxx
1 2 	_USER_ oxycodone? tell me why I been taking those lately too... there bomb.
1 2 	I think I like this Valium the doctor gave me.  I ain't got no worries.
1 2 	guess I'll soak in this hot water take me some more Advil  weary face
1 2 	Ustill deal with me tho winking face with tonguejk I'm dumb doctor told me I could have Tylenol PM and; it has me all messed up goofy feeling face with tears of joy _URL_
1 2 	Prednisone tastes so fucking horrible  face with medical mask
1 2 	Takein some Tylenol then going to bedd
1 3 	Lets see what these Advil gonna do.
1 2 	My name is Annie, and I'm suffering from a headache so large that not even ice cream and Tylenol can cut it.
1 3 	*takes ibuprofen* _URL_
1 2 	Cramps will kill me, that's why I keep Tylenol on deck
1 2 	I had such a bad headache so I ask James to get me Tylenol. Brings me Tylenol PM....  face with tears of joy face with rolling eyes sleeping face now, I'm so tired..
1 2 	All that waiting for them to give me Tylenol smh
1 2 	My dad just gave me 800mg of Ibuprofen  beaming face with smiling eyes OK hand smiling face with smiling eyes _HASHTAG_ _HASHTAG_
1 2 	_USER_ lol it's okay it's not even as bad you. I just have a fever and I'm getting it under control with ibuprofen.
1 3 	I Was Too Through When Them Niggas Gave Me Children's Motrin. But That Shit Broke My Fever Tho.  face with tears of joy
1 3 	_USER_ It's tricky-everyone reacts a little differently. I was on Prozac and was miserable from the side-effects.
1 3 	I suck at twitter. I haven't slept much in the last two _URL_ on Advil PM & _URL_ on!!!
1 3 	Omg my mother was right  smiling face with heart-eyes wine and Advil is the best remedy for cramps
1 3 	That Tylenol last night tho  raising hands🏾 electric plug yasssss
1 2 	My life be like Tylenol, Zantac, Tums, repeat. _HASHTAG_
1 3 	Just took a Xanax sippin on this Henny! Fuck what y'all talking about cheers to this cold world!!!!!
1 3 	Oxycodone can reaaaalllllyyyy make ya feel good
1 3 	Impatiently waiting for 4:30 so I can give him another dose of Tylenol  frowning face️
1 2 	Popped 5 ibuprofens and; put the bottle in my purse. I should be good for awhile!
1 3 	_USER_ lol I don't need a drink baby.  And Tylenol isn't working.
1 3 	Lmaoo so my aunt tells me that pain in the arms are sometimes signs of a stroke/heart attack ..... Ummmm wow lol *takes advil*
1 3 	_USER_ I wouldn't even do her like that loudly crying face they got me on them and Motrin 800mg I be so fried loudly crying face
1 3 	_USER_ I'm sire I've dilated since. I've tried a bath, 4 glasses of water, and; Tylenol. stillllll contracting. Like come on, kid.
1 3 	I knew today would be a disaster... back on the fucking steroids, woo
1 2 	Tylenol not cutting it
1 3 	Doctor said I could take this. C'mon placebo (er, I mean, Tylenol). Do your thing! _HASHTAG_ _HASHTAG_… _URL_
