3 2 	My day needs a valium.
Not me. My day.
_HASHTAG_
3 2 	_USER_ Right now my hot fantasy is a hotel room, bath, robe and a Tylenol PM. All solo.
3 2 	_USER_ Is it considered bribery if I enclose cough sweets and; paracetamol?
3 2 	My backs hurting so bad and I don't have any Tylenol  weary face
3 2 	I dropped my Advil down the drain and now my drug deal is ruined
3 2 	My mom don't feel good. Part of me wants to go over with Tylenol and tea and soup. The other part wants to just not lol
3 2 	I mean we all need Valium today?
3 1 	I hope Kaylee fever don't come back . I been rotating between Tylenol and Motrin and she haven't been warm since earlier
3 1 	I honestly feel like this Motrin isn't doing much, it only keeps jacks fever down for a max of like 2 hours then he's burning up again.  frowning face️
3 2 	it would probably be in bad taste to slip the toddler sitting next to me a xanax, yeah?
3 2 	Oh, Hallo, ihr 800mg Ibuprofen! Wollen wir ein bisschen zusammen chillen? Ja? Cool.
3 2 	Everything gives me headaches, and we have every painkiller except Tylenol.  pensive face
3 2 	_USER_  Allegra and Flonase work for me if honey doesn’t
3 2 	I wish Advil could relieve heartache.
3 2 	Going to Target! I better remember to buy my Xanax PEZ dispenser.  red heart️
3 1 	_USER_ illadin nasal spray, Andolex throat spray, Advil and Still Pain plus loads of sleep.
3 2 	Hot apple cider with vodka and; cinnamon is my liquid Xanax for the night.
3 2 	_USER_  unamused face white ppl be telling me anything ! I can b dying and they give me a damn Tylenol
3 1 	Just waiting for that baby Advil to kick in...
3 2 	Olivia, you have anxiety. Trust me. Get Xanax. _HASHTAG_
3 2 	_USER_ Tylenol sinus hmm? I'll have to check that out, I generally use Zyrtec and nasal spray - cough drops only if it's really bad.
3 2 	“_USER_: “_USER_: _USER_ you good?” Yeah. I got the worst headache  weary face” go take some Tylenol
3 2 	That's it.. next doctors appointment I'm asking about Xanax just because it's time to try something to kick this anxiety for good.
_HASHTAG_
3 2 	And I have no Tylenol to top it off
3 2 	I'll be your Tylenol,  take me til you doze off.... _HASHTAG_
3 2 	I need to go to the store to get Ariel Tylenol but she's asleep and I don't wanna get ready
3 1 	My little E is now finally now on antibiotics, steroids and inhalers  after battling with an… _URL_
3 2 	The sinus pain and pressure is killing me! And we have zero Tylenol in the house! _URL_
3 2 	Advil ? Lol
3 1 	These oxtails I'm eating on steroids  weary face
3 1 	Shuda jus took some Tylenol and left it like dat
3 1 	Was in the hospital for four days for a severe kidney infection last month and only had something stronger than Tylenol twice for pain.
3 2 	am in agony with my c section wound and; back from my spinal and honestly doctors dinny care...."just take paracetamol" DUSNY FKN DAE ANYTHING
3 2 	Taking Isaiah to the doctors in tj tomorrow Bc all doctors ever give here is damn Tylenol  face with rolling eyes
3 1 	Turns out I'm so stingy with the Calpol that the bottle is out of date. So's the half bottle of ibuprofen. What do I do with sick 3yo now?  weary face
3 2 	I'm dead ass the type of person to Ohdeee on medicine when I'm sick. I'll get through anything as long as I have some Tylenol cold and flu  OK hand
3 1 	i really started my day with sunglasses and; advil as if last night was mad real..
3 1 	Canny believe that masons been no well for 3 weeks steroids and antibiotics haven't worked downcast face with sweat
3 2 	_USER_ Haha! Depending on how much you like snow, could be fun.  I'd take Advil every few hours to combat the crushing achies later :)
3 1 	Went to one of the worst gyms I've ever been to today. Beefcakes on steroids. PTs smoking e-cigarettes. Herbalife. Hardly health promotion!
3 2 	I take my Advil cold with some warming tea. The perfect combination! _HASHTAG_ _HASHTAG_ _URL_
3 2 	I pray nothing happens to my girl from all this Tylenol.
3 2 	My twin!!! My Maid of Honor!!! My BFF!!! My Lover!!! My right hand Manz!!!! My Ativan!!! LOL… _URL_
3 1 	_USER_ lmao so is my mom so I'm sure you're fine lol take it easy and take Tylenol it helps my sickness within hours everytime
3 1 	_USER_ _USER_ My 2yo had a 39.6 temp at the doctor's at 5pm... but Panadol has kicked in and he's now singing! _HASHTAG_
3 1 	_USER_ Motrin. He has been taking Tylenol and Motrin the past two days nothing is helping
3 2 	Damn doctor told me to take Motrin after I told him I'm allergic to it. I need surgery clearly!!! My back can't take it
3 2 	Tylenol for Roe then night night it is
3 2 	I really need to go to the doctor... But I know all they will give me is ibuprofen...  expressionless face
