3 2 	My day needs a valium.
Not me. My day.
_HASHTAG_
3 2 	_USER_ Right now my hot fantasy is a hotel room, bath, robe and a Tylenol PM. All solo.
3 2 	_USER_ Is it considered bribery if I enclose cough sweets and; paracetamol?
1 2 	My knee starting to hurt again I'm bout to eat dinner, take another Tylenol and; go back to bed
3 2 	My backs hurting so bad and I don't have any Tylenol  weary face
3 2 	I dropped my Advil down the drain and now my drug deal is ruined
3 2 	My mom don't feel good. Part of me wants to go over with Tylenol and tea and soup. The other part wants to just not lol
1 2 	I whipped then I nae nae _URL_ then my reminded I'm not lite on my feet so now I'm Advil and bed ridden _URL_
3 2 	I mean we all need Valium today?
1 2 	Been dopin myself up wit Tylenol being that's all I can take pensive face
1 2 	_USER_ I may or may not have taken some Advil when I woke up lol
1 2 	_USER_ I take about two Advils in the morning and; two more at night
1 2 	Thank the lord I got my Xanax cause I feel so much better and less stressed
1 2 	i used bc powder, ibuprofen, and; Paul Masson  loudly crying face nothing is working
1 2 	_USER_ I be trying to take Tylenol that shit don't work either.. I feel yo pain _URL_ ain't hurting that bad tonight!
3 2 	it would probably be in bad taste to slip the toddler sitting next to me a xanax, yeah?
1 2 	And I take 2 500 milligram Tylenol before bed.  weary face
1 2 	I take so much Advil every day  unamused face
1 2 	Like I just want to sleeeeeeep. Ibuprofen ain't doin shit
1 2 	My headache gone.  raising hands shoutout to my doctor for giving me Tylenol with Co....  flushed face
3 2 	Oh, Hallo, ihr 800mg Ibuprofen! Wollen wir ein bisschen zusammen chillen? Ja? Cool.
3 2 	Everything gives me headaches, and we have every painkiller except Tylenol.  pensive face
3 2 	_USER_  Allegra and Flonase work for me if honey doesn’t
3 2 	I wish Advil could relieve heartache.
1 2 	Why is prednisone so bitter?!  confused face
3 2 	Going to Target! I better remember to buy my Xanax PEZ dispenser.  red heart️
3 2 	Hot apple cider with vodka and; cinnamon is my liquid Xanax for the night.
1 2 	Tylenol doesn't do shit for me expressionless face persevering face
3 2 	_USER_  unamused face white ppl be telling me anything ! I can b dying and they give me a damn Tylenol
3 2 	Olivia, you have anxiety. Trust me. Get Xanax. _HASHTAG_
3 2 	_USER_ Tylenol sinus hmm? I'll have to check that out, I generally use Zyrtec and nasal spray - cough drops only if it's really bad.
3 2 	“_USER_: “_USER_: _USER_ you good?” Yeah. I got the worst headache  weary face” go take some Tylenol
3 2 	That's it.. next doctors appointment I'm asking about Xanax just because it's time to try something to kick this anxiety for good.
_HASHTAG_
3 2 	And I have no Tylenol to top it off
3 2 	I'll be your Tylenol,  take me til you doze off.... _HASHTAG_
3 2 	I need to go to the store to get Ariel Tylenol but she's asleep and I don't wanna get ready
3 2 	The sinus pain and pressure is killing me! And we have zero Tylenol in the house! _URL_
3 2 	Advil ? Lol
3 2 	am in agony with my c section wound and; back from my spinal and honestly doctors dinny care...."just take paracetamol" DUSNY FKN DAE ANYTHING
3 2 	Taking Isaiah to the doctors in tj tomorrow Bc all doctors ever give here is damn Tylenol  face with rolling eyes
3 2 	I'm dead ass the type of person to Ohdeee on medicine when I'm sick. I'll get through anything as long as I have some Tylenol cold and flu  OK hand
3 2 	_USER_ Haha! Depending on how much you like snow, could be fun.  I'd take Advil every few hours to combat the crushing achies later :)
1 2 	Tonight is the first time in over a year I have needed a Xanax for my anxiety. I'm proud for coping for so long. But feel so defeated, too.
3 2 	I take my Advil cold with some warming tea. The perfect combination! _HASHTAG_ _HASHTAG_ _URL_
3 2 	I pray nothing happens to my girl from all this Tylenol.
3 2 	My twin!!! My Maid of Honor!!! My BFF!!! My Lover!!! My right hand Manz!!!! My Ativan!!! LOL… _URL_
3 2 	Damn doctor told me to take Motrin after I told him I'm allergic to it. I need surgery clearly!!! My back can't take it
3 2 	Tylenol for Roe then night night it is
1 2 	Woke up with the worst headache not enough Tylenol in the world to help me
1 2 	3am. Headache. Cause:Unknown. Take Tylenol, Benadryl. Eat Nutrigrain Bar. One of three has to make it go away, right? _HASHTAG_
1 2 	_USER_ I do!! Dosing up on the paracetamol xxx
1 2 	_USER_ oxycodone? tell me why I been taking those lately too... there bomb.
1 2 	I think I like this Valium the doctor gave me.  I ain't got no worries.
