,TweetID,User,DBID,Intake,Text
0,704041467338203136,lillyventura04,med-int-10001,3,@zj_marines that's good girl' I'm giving lily Motrin.. She doesn't like Tylenol ..
1,260558957884633088,andiehiestand,med-int-10002,2,I am going to need a Xanax after this #debate
2,634235181935669248,Celestehxo2,med-int-10003,2,My back freaking hurts wish I could pop a Xanax 😑
3,576940757128368128,_lexussssk,med-int-10004,1,Im miserably tired but can't sleep and still waiting for my Tylenol to set in. 🙀
4,638799667363487745,EmHawk11015,med-int-10006,2,@freshiee619 I'm drinking pop rn but I have no means of getting Advil until I get off work at 9 😅
5,701109645595774976,Doula_Joce,med-int-10007,3,"Obstetrics + military =  magnified male power on steroids

""The head of section at the time told me to my face... https://t.co/Ld8sORQiVZ"
6,572787587401818113,amandadadesky,med-int-10008,1,"I'm on codeine, Zpack, Zyrtec, and 40mg of prednisone. Probably goes without saying, but I am no longer bummed I am not at #GDC2015 ."
7,571475989307502592,MsBridgzIfUNast,med-int-10010,1,Still don't feel good n I took some Tylenol but that ain't help
8,281203924881530880,kristeena123,med-int-10011,1,Tylenol is  my bestfriend at the moment
9,653727374140436481,_blowthegrip,med-int-10012,3,spongebob on steroids lmfaoooo
10,426332443621068800,f1ferrari0,med-int-10013,2,"@asthmauk I've got pre-payment card, costs just over £10 a month, pays dividend with 2 lots of inhalers &amp; singulair + antib's, steroids etc"
11,604501972645904384,GinalynnGov,med-int-10014,2,Tylenol PM for the win 🙌🏻
12,583733904793804801,RYAN_IN_LOVE,med-int-10015,3,He was breast fed and had health issues that made him take steroids
13,814944281349607424,iamDonareen,med-int-10016,3,Came for children's Tylenol... leaving with some lashes! 😜 @nguerriero19 walgreens… https://t.co/ZLBoIZjDDT
14,519299237847498752,ayee_itskaylaa,med-int-10017,1,I took some Tylenol for my ear ache and now I have a head ache &amp; an ear ache..
15,545581443183673346,OzarkNaturalFd,med-int-10019,3,6 Alternatives for Ibuprofen that Really Work - Flash News http://t.co/OPmCJ2l80K
16,583510280132526080,_heavenlyyyy,med-int-10020,2,I need a Tylenol
17,740383647392468996,RawrItsAlexisss,med-int-10021,3,We all know a Chad.  Steroids make people snap. So Jojo needs to send him packing.  He is about to hurt someone. Why does the show do this?
18,668295020311629824,gorgeous_raikel,med-int-10022,3,On steroids https://t.co/k8IavAd96t
19,820284241472815110,amygrenier15,med-int-10023,2,"I need a greasy breakfast, 2 bottles of Gatorade and a shit ton of Advil asap"
20,472795965103955969,ohhAlehh,med-int-10024,3,Couple of Advil relax and chill 🎧
21,734057498722762753,sanamariexo,med-int-10025,3,@angelbunsiog Extra Strength Tylenol girrrrrl.
22,796953432594776064,FxckSwag_,med-int-10026,1,finally this ibuprofen kicking in 😌✌🏾️😴
23,631531742495670272,baddestinacity_,med-int-10027,1,@SaniyaNisha I been poppin the shit out Tylenol 3😂
24,684665480393682945,EricaBing7,med-int-10028,2,// once I was high on laughing gas and Valium and I still sobbed and had a panic attack in the dentist chair. Fun times.
25,808093730746015744,_MrsBre,med-int-10029,2,Wait. My husband just offered me some Advil dick. Thanks 🙄
26,730849677625561089,LateBloomer924,med-int-10031,1,I believe Tylenol w/codeine works pretty well. I'd have to be conscious to know for sure.
27,759708304473923585,amiee_hill,med-int-10032,2,@sarahbabeeeey yeah I will google it went and spoke to a pharmacist yesterday and she was like take paracetamol few as possible because
28,767325868242837504,Ms_Amy_D,med-int-10033,3,Lifesaver!Had to run for children's Motrin and Zantac at 4am (@ Walmart Supercenter) on #Yelp https://t.co/0FC4uyHMOX
29,504128278341632000,Chezlyjae,med-int-10034,1,I feel so tired right now and it's beautiful 👏👏👏 thank you Advil pm
30,812642254401785857,Cuffaluffagus,med-int-10035,2,"Gonna need some Ativan, my headphones and a book"
31,547209649603489792,RedCarpet_Me,med-int-10037,1,That Tylenol extra strength works wonders omg
32,459011502209368064,PrincesxNThugg,med-int-10038,2,I need some Tylenol for this back pain
33,363872734213709824,holly_marie02,med-int-10039,1,"two prenatals, a vitamin c drop, a tylenol, an hour of cuddling my heating pad, and i think it's time for bed. ✌"
34,798977299483791360,JMcLeafy,med-int-10040,1,I've had a constant mid level headache nonstop for about 5 days straight. I worry how much Ibuprofen I've taken this week...
35,484086474535469056,RubyOneLove,med-int-10041,2,Thank god for those Motrin
36,644650773440278528,Amanda_McDermot,med-int-10043,3,@paaigemarie_ he is prob teething hun. There really nothing u can do than besides comfort him. Try Tylenol or give him a bath
37,730224668788072449,kaybeez_,med-int-10044,3,maybe not Xanax but seriously... https://t.co/6bp0XtbaoC
38,810252786160074752,LiveSimplyDee,med-int-10045,3,"Guest:What do you give for possible heart attack?
TM:I don't know
Guest:Do you ... ibuprofen?
TM:Sure
Me:It's aspirin
Guest:I don't think so"
39,795263627997499392,LilBooty_Brit,med-int-10046,3,Every time I tell my mother I'm in pain she say take a Tylenol like wtf is that gone do 🙄😒
40,769159045273915394,Muhhkenzy,med-int-10047,2,my breakfast usually consists of a Kool-aid Jammer and a couple Advil
41,764530349741252608,LikeItsJenna,med-int-10049,2,All I can take is Tylenol &amp; that bullshit doesn't even work
42,774932274806677504,Paig3Shannon,med-int-10051,3,"@cherylspeaksout @MrBillyEssex his not full of steroids actually,his just a hardcore gym lover and eats good foods. And he's not a gypsey"
43,732590529335201793,kkaattiiii,med-int-10052,1,The doctor gave me steroids for my hip and I have to take 6 at a time like wut.
44,772104570751160320,melzz_69,med-int-10053,3,If you take steroids or even think about it I'm judging TF outta u and ur as pussy as it gets 😂
45,779880317859475456,JRiotmaker,med-int-10054,3,@KrysonCJAY Rice Cream Motrin Dream!
46,818314782927241216,KIIIMESTRADA,med-int-10055,3,It really sucks having PMDD (premenstrual dysphoric disorder). It's like PMS on steroids. Month long PMS symptoms. Ha.
47,795743841857011713,IGoetzWhatIWant,med-int-10056,1,"BUT he put me on more steroids, more antibiotics, another inhaler, and ordered chest X-rays cuz my pneumonia is back and stronger 🤗🤗🤗🤗 #yay"
48,571126362678947840,itsmehaileyyyy,med-int-10058,3,"My poor baby had her 4 month shots yesterday, running a fever today, after some Tylenol she's passed… https://t.co/GvRU0ZG39y"
49,606192961521610752,carlyllambert,med-int-10059,2,This is an SOS to anyone reading this that bought me a bridal shower gift to return it and get me Xanax instead
50,250489905552166912,JessyLawro,med-int-10060,3,Scared to shower incase that steroid freek spider is in there waiting to get me!! Need to go in prepared for battle #ShitScaredOfSpiders
51,816564633976930304,Becominggranola,med-int-10061,3,"Been up for a while with C. She was waking every 30ish minutes and was clearly starting to burn up. 
Tylenol and couch sleeping now."
52,803798221227167744,KittyLeSiren,med-int-10062,3,My dog is on xanax.... she's a barhead
53,444666729592287232,_xoxo85,med-int-10063,3,😂✊RT @_07110621: My Favorites I Gotta Buy Another Bottle😩 RT @_xoxo85: Tylenol PM.
54,346451270598545408,jennymaeapgar,med-int-10064,2,I'm over caring. I just want two Tylenol PM and a bed.
55,461511489015517185,CamriVance,med-int-10065,1,Tylenol do not work for the headaches I be getting.
56,324694133618913280,_LaNiseee,med-int-10066,2,😩😩😩😪😪😭😭😭😭😭😭😪 I need some Motrin
57,778870851336830976,milatimothy,med-int-10068,3,A glass of water followed by Advil will take the pain away #fastadvilfanatics #sponsored https://t.co/8WkkflKMRc
58,328676713238233088,cm_doporto,med-int-10070,2,Just gave my flower beds the love and attention they have been needing. Now my back is killin' me! Quick - where's the Advil?
59,352487773577551872,ChelseaWirtz18,med-int-10071,3,Ibuprofen
60,527646595530383360,KatieHoleman,med-int-10072,3,Receive a $1.00 off coupon Thanks Children’s Advil 4 my free trial of #ChildrensAdvilSugarFree! http://t.co/o77QHoFpHQ
61,541841091537154048,_FreeFresh,med-int-10073,2,I need some Tylenol bad AF I'm ready to drive my car to sheet dats  how bad it is!!
62,682392031478583298,Baby_Eto,med-int-10075,1,Itchy eyes tho... My Tylenol PM is working😏
63,676771853113753600,KeyonnaAndFam,med-int-10076,3,So we have Odin Tylenol last night and it helped SO much!
64,572961325271277568,FeelinGroooovy,med-int-10077,2,@KerryLynn1024 Tylenol PM is a lifesaver! Hahah
65,578669040425533440,CC_Hookz,med-int-10078,3,Seriously.... I hate Xanax and his bullshit. He doesn't even get me new followers.
66,776818620168974336,nannaxoo,med-int-10079,3,@haleylarissa__ head cold! Take Tylenol or Dayquil
67,526659074122059776,PurpKushSoSweet,med-int-10080,1,i just had a small asthma attack.. THANKYOU ventolin (abuteral sulfate)
68,708382992628973569,iss_sandra,med-int-10081,3,Xanax 😪
69,649646816686813184,itzmetc,med-int-10082,2,Asthmatic Bronchitis ugh really. Antibiotics steroids and cough medicine  with an inhaler wow
70,666460826451255297,_Dasaray,med-int-10083,3,@UniqueH_ @OBEY_blaaacck &amp; you're a fat unicorn on steroids.
71,666648834974576640,arjun_dhawan,med-int-10084,2,"It's that point in the semester where I don't know if I need a Red Bull, an Advil or both."
72,308733354575020033,ali_sandy,med-int-10087,3,A kid I went to grammar school with just imed me on Facebook saying he had Xanax on deck... Why?!?
73,750890236968742912,Crazyceeeee3,med-int-10090,2,braid shop 9 in the morning ugh ima have me a bottle of Tylenol
74,793542021843746816,Dez_izzyWhitney,med-int-10091,2,But I do carry a Flonase spray in my purse faithfully bc I have the worst sinus/respiratory infections which cause me to be dizzy
75,783497945840746497,Longtails53,med-int-10092,3,I hope #Kaine gets his Valium now! Thank God that's over! #VPDebate  #Hillarysucks
76,696598087041585153,NessaBoo707,med-int-10093,1,Took a cold shower and some Tylenol and it didn't help 😔
77,543490652328431616,bnutritious,med-int-10094,3,Nutrition on the go! Who needs Advil anymore? @tumericalive http://t.co/OFxSQaWWXj
78,455045811249119232,kellyMH11,med-int-10097,1,Normal people enjoy a glass of wine or maybe a beer in the bath I'm rocking paracetamol! http://t.co/NhV44g7Gqe
79,823623029662093313,CMyllz_xox,med-int-10098,1,"I've already taken Sudafed, 800 ibuprofen, daytime NyQuil for cold and cough and drank almost 14oz of OJ and I'm still feeling like death!"
80,450734629838790656,AllureGione,med-int-10100,3,On That Strong.. That's That Steroid #A-Rod
81,437190687277473793,Milly_cx,med-int-10101,2,Almost 7 Advil having hunger problems -_-
82,699826046833709056,Lissette_Yvonne,med-int-10102,2,"Being sick and pregnant is no joke. Like I can't take anything, expect Tylenol. 🙄"
83,745279774894006272,kaynicole19,med-int-10103,3,If you are about that Xanax life don't fucking talk to me.
84,634024557121155076,AlaynaRosana,med-int-10104,1,Ibuprofen and water are my friends 💕
85,513526715092860929,LAURENLAVlSH,med-int-10105,3,I used to think OxyContin was OxyCotton
86,118445151646519296,ABelleAbroad,med-int-10106,3,"You know you've gone native when you pay $10 for baby Tylenol and think ""Wow! That's cheap."" #FB"
87,556081416182587393,Brooke_Rice1,med-int-10107,3,"Of all nights, last night I'm up all night with shooting pain in my leg that was like a Charlie horse times 10... And Jake has no Advil. 😒"
88,386545313055383552,__BrittanyBitch,med-int-10108,2,I've had a headache for well beyond 12 hours.  Its time to buy some tylenol.  #IcantHang
89,26166251589,Birthology,med-int-10109,2,"@porridgebrain Glad to hear he seems finw, I OD'd on my mum's valium at his age... Remember it well."
90,783110015062306817,BallerBenson100,med-int-10110,2,@jsminebloom I got tylenol
91,489850938816225281,redsoxgirl4615,med-int-10112,2,Xanax is a wonderful drug...
92,345977091466080257,dianeparksy,med-int-10113,3,@RubyPooks hurry up Parksy! ;) '@MindBlowing:Sex is the best pain reliever in the world! It is 10 times more effective than valium.'
93,273490924640808960,iashaharris,med-int-10114,3,Just a warning please take a Advil before you watch the movie campaign because the laughing your going to do omggg ctfuuuu
94,638553136735522816,QueenAlexis_16,med-int-10115,2,Bout to pop a 800mg ibuprofen. My head is done
95,408659842946330624,Machaela_xo,med-int-10116,1,Those steroids did work on my swollen glands
96,809102193097932800,ChrisRobinsonNJ,med-int-10117,1,@ChrisRobinsonNJ I won the game by chasing the Advil with the whiskey. Parenting!
97,462628679936270336,2Smuveee,med-int-10118,3,"Sun glasses &amp; Advil .. 

Last night was mad real 😎"
98,821066998813720577,charlee_buns,med-int-10119,3,Can someone photoshop him sprinkling Prozac and Abilify for me? It's my mood https://t.co/cSPxXmH1If
99,822496735159341058,Bruno_J_Navarro,med-int-10120,3,"City devastated by OxyContin use sues Purdue Pharma, claims drugmaker put profits over citizens' welfare - #opioids https://t.co/cXNFhrar8V"
100,499917357327060992,LizCahalan,med-int-10122,1,@clivejsmith01 nearly! Just had a mega dose of asthma steroids so I'll be feeling better in a day or two. Can't wait :)
101,583604980596244480,OnMyShxt_Nika,med-int-10123,3,@lul_leee Tylenol .
102,769932377401417728,Navarro523,med-int-10125,3,"@vivaLaYesi It helps, you wake up with no headache, or a mild one, and DONT take Tylenol 😂"
103,498516577919438848,rosaleeeeee,med-int-10127,3,"sunglasses and advil, last night was mad real."
104,634221642626019328,ashh_walker,med-int-10128,1,Need more Tylenol
105,817898737511108608,hellomag,med-int-10129,3,Carrie Fisher's ashes placed in giant Prozac pill urn - find out what brother Todd Fisher said about the choice… https://t.co/Axc8XdH3Yg
106,405612951651889153,kelsyfaux,med-int-10130,2,Auntie patty says she think she'll need to give me a Valium before my date on Saturday because that's how nervous I am.
107,814830286081028096,ArbraEden,med-int-10131,2,Coffee &amp; xanax #hungover
108,444007577756524544,Scarlettdreams,med-int-10132,2,@MakhaillaMorris the bath sounds good. The ibuprofen not so much
109,378265372308537344,mzprettykk2cute,med-int-10133,1,"I'm on advil, dayquil &amp; nyquil all at once &amp; still feel like shit"
110,611334923929169920,klillypad,med-int-10134,2,Ham gave me Advil pm and I haven't had a nap today so goodnight world
111,358778065251336193,BRiT_KaY927,med-int-10135,2,@brookemcmillin I had to go to the eye doctor and take steroid eyedrops and get air shot into my eye
112,325286811691790337,diabolina,med-int-10136,3,“@nprnews: What David Lynch And Tylenol Can Tell You About The Brain http://t.co/EgvTceB7TU” @dialkyle
113,280716974382800896,AshlynTengan,med-int-10137,2,"@speaknoww17 Ohh, if only I had Tylenol! I took Aleve yesterday and it didn't help. :( Can't wait to get home so I can rest! Thx Nicole! :)"
114,613443601104826368,liryspeedy,med-int-10138,3,@SavardTraci a COUPLE of Ativan lol
115,348987203684278272,KassieBWilliams,med-int-10139,2,@KaraRaeBethard OUCH!!!!  I would shed tears and need Tylenol first! #toopainful
116,802526086248730624,kaeeteaaa,med-int-10140,3,I'm talking about like for cold n cough. Only Tylenol I can find is for pain/fever I want to give him dimetapp but… https://t.co/yMvNpCks2i
117,285275597662482433,Deaira_1984,med-int-10141,2,What y'all know about Walgreens brand aspirin? It works better than Tylenol 💊👍
118,492335925977153538,AmoraE14,med-int-10142,3,@KittyPryde66 *rubs your back gently* Do you want me to find you some Tylenol?
119,550029089830993920,__KitCat,med-int-10143,2,About to take a Tylenol 3 and some more Nyquil ... I wanna be 110% when my kid gets back
120,418962899747368960,EJGarling2012,med-int-10144,3,Someone is teething tonight and would only fall asleep after Tylenol and mommy snuggles. And I think he's sick too 😕
121,682344874964840448,luckypinegirl,med-int-10145,3,@lydiejo well I kinda agree...at least its not as bad as downing Tylenol...that will kill your liver.
122,728291943667666950,imMladyKendallJ,med-int-10146,2,A PARACETAMOL ....2 TABLETS TO HELP ME COUGH .....AN 1 A WEEK A VITAMIN B6 ......
123,735100510714404864,qinkat,med-int-10147,2,"The school nurse just gave me 2 Tylenol and told me to take them, I asked for children's Tylenol and she laughed and walked away."
124,536787689417502722,K_Wash25,med-int-10148,1,These Xanax got me trippen 😵
125,779837997680295937,B_and_E_Plus3,med-int-10149,3,Alternated.Both ibuprofen and Tylenol and still can't lower his fever .
126,582750020941668352,FukDez_Twatches,med-int-10151,1,"I Done Took 2 Tylenols, A Bc Powder, Plus I'm On That ⛽️ So You Know I'm Feeling It 😂"
127,625308585468252164,Here_I_StandJay,med-int-10152,2,My abdominal pains are worsened  &amp; all I can take are Tylenol
128,571460230694842368,davoluntarist,med-int-10153,3,taco cabana is like Taco Bell on steroids...
129,703651991717748737,briannaalange,med-int-10155,2,"don't talk me until i've had my coffee.. with a splash of kahlua, then two xanax, a little quiet time, and a good cry."
130,308786113630306305,LaShae_Tanielle,med-int-10157,2,I need some Motrin
131,709819532458635264,oldjunkesthetic,med-int-10158,2,need. Ibuprofen. 😩😭
132,644720268712275968,__KNicole__,med-int-10159,2,I swear if I wasn't pregnant I would've popped 2 Motrin 500 by now. Damn.
133,572490269653782528,ashkaikini,med-int-10160,3,@nazishrahman bang! They're on steroids
134,335113233662885889,layla_qx,med-int-10161,3,"RT""@lloydsmuggs: I believe that the tablets that Sharon is taking are steroids. She's hench man. #eastenders""loooooooooool"
135,452651321720446976,karguelles94,med-int-10162,1,Feeling sick to my stomach and not being able to take anything but Tylenol sucks:( #tylenolsucks
136,318453256433045504,KaleyJo20,med-int-10163,2,I need my motherfucking Xanax
